episode_id,section_id,event_idx,event_type,date_raw,year,month,place,persons,sentence
E001,S01,6,weather,,,,Кронштадта,,"Бывало, не заснешь, если в комнату ворвется большая муха и с буйным жужжаньем носится, толкаясь в потолок и в окна, или заскребет мышонок в углу; бежишь от окна, если от него дует, бранишь дорогу, когда в ней есть ухабы, откажешься ехать на вечер в конец города под предлогом ""далеко ехать"", боишься пропустить урочный час лечь спать; жалуешься, если от супа пахнет дымом, или жаркое перегорело, или "
E001,S01,10,illness_danger,,,,Кронштадта,,"Как уживетесь с новыми людьми?"" – сыпались вопросы, и на меня смотрели с болезненным любопытством, как на жертву, обреченную пытке."
E001,S01,11,illness_danger,,,,Кронштадта,,"Из этого видно, что у всех, кто не бывал на море, были еще в памяти старые романы Купера или рассказы Мариета о море и моряках, о капитанах, которые чуть не сажали на цепь пассажиров, могли жечь и вешать подчиненных, о кораблекрушениях, землетрясениях."
E001,S01,17,observation_reflection,,,,Кронштадта,,"Я изумился: я видался с нею всего раза три в год и мог бы не видаться три года, ровно столько, сколько нужно для кругосветного плавания, она бы не заметила."
E001,S01,20,observation_reflection,,,,Кронштадта,,"""Жаль потому, что лишний человек все-таки развлечение?"" – заметил я."
E001,S01,26,observation_reflection,,,,Кронштадта,,"""Я понял бы ваши слезы, если б это были слезы зависти, – сказал я, – если б вам было жаль, что на мою, а не на вашу долю выпадает быть там, где из нас почти никто не бывает, видеть чудеса, о которых здесь и мечтать трудно, что мне открывается вся великая книга, из которой едва кое-кому удается прочесть первую страницу…"" Я говорил ей хорошим слогом."
E001,S01,31,weather,,,,Кронштадта,,"Мысль ехать, как хмель, туманила голову, и я беспечно и шутливо отвечал на все предсказания и предостережения, пока еще событие было далеко."
E002,S01,5,observation_reflection,,,,Кронштадта,,"""Подал бы я, – думалось мне, – доверчиво мудрецу руку, как дитя взрослому, стал бы внимательно слушать, и, если понял бы настолько, насколько ребенок понимает толкования дядьки, я был бы богат и этим скудным разумением""."
E002,S01,27,movement,,,,Кронштадта,,"В другом я – новый аргонавт, в соломенной шляпе, в белой льняной куртке, может быть с табачной жвачкой во рту, стремящийся по безднам за золотым руном в недоступную Колхиду, меняющий ежемесячно климаты, небеса, моря, государства."
E002,S01,34,weather,,,,Кронштадта,,"Морская болезнь, перемены климата, тропический зной, злокачественные лихорадки, звери, дикари, бури – всё приходило на ум, особенно бури."
E003,S01,3,illness_danger,,,,Кронштадта,,"Пройдет еще немного времени, и не станет ни одного чуда, ни одной тайны, ни одной опасности, никакого неудобства."
E003,S01,30,meeting,,,,Кронштадта,,"Что удивительного теряться в кокосовых неизмеримых лесах, путаться ногами в ползучих лианах, между высоких, как башни, деревьев, встречаться с этими цветными странными нашими братьями?"
E003,S01,36,weather,,,,Кронштадта,,"Два времени года, и то это так говорится, а в самом деле ни одного: зимой жарко, а летом знойно; а у вас там, на ""дальнем севере"", четыре сезона, и то это положено по календарю, а в самом-то деле их семь или восемь."
E003,S01,37,weather,,,,Кронштадта,,"Сверх положенных, там в апреле является нежданное лето, морит духотой, а в июне непрошеная зима порошит иногда снегом, потом вдруг наступит зной, какому позавидуют тропики, и всё цветет и благоухает тогда на пять минут под этими страшными лучами."
E003,S01,44,movement,,,,Кронштадта,,"Не блистающий красотою, не с атрибутами силы, не с искрой демонского огня в глазах, не с мечом, не в короне, а просто в черном фраке, в круглой шляпе, в белом жилете, с зонтиком в руках."
E004,S01,3,weather,,,,Кронштадта,Крюднер,"Я писал вам, как мы, гонимые бурным ветром, дрожа от северного холода, пробежали мимо берегов Европы, как в первый раз пал на нас у подошвы гор Мадеры ласковый луч солнца и, после угрюмого, серо-свинцового неба и такого же моря, заплескали голубые волны, засияли синие небеса, как мы жадно бросились к берегу погреться горячим дыханием земли, как упивались за версту повеявшим с берега благоуханием ц"
E004,S01,5,movement,,,,Кронштадта,Крюднер,"Я сделал шаг и остановился в недоумении, в огорчении: как, и под этим небом, среди ярко блещущих красок моря зелени… стояли три знакомые образа в черном платье, в круглых шляпах!"
E004,S01,7,weather,,,,Кронштадта,Крюднер,"Я шел по горе; под портиками, между фестонами виноградной зелени, мелькал тот же образ; холодным и строгим взглядом следил он, как толпы смуглых жителей юга добывали, обливаясь потом, драгоценный сок своей почвы, как катили бочки к берегу и усылали вдаль, получая за это от повелителей право есть хлеб своей земли."
E004,S01,8,meeting,,,,Кронштадта,Крюднер,"В океане, в мгновенных встречах, тот же образ виден был на палубе кораблей, насвистывающий сквозь зубы: ""Rule, Britannia, upon the sea""."
E004,S01,17,shipboard_work,,,,Кронштадта,Крюднер,"Наконец 7 октября фрегат ""Паллада"" снялся с якоря."
E004,S01,20,shipboard_work,,,,Кронштадта,Крюднер,"Все четыреста человек экипажа столпились на палубе, раздались командные слова, многие матросы поползли вверх по вантам, как мухи облепили реи, и судно окрылилось парусами."
E004,S01,21,weather,,,,Кронштадта,Крюднер,"Но ветер был не совсем попутный, и потому нас потащил по заливу сильный пароход и на рассвете воротился, а мы стали бороться с поднявшимся бурным или, как моряки говорят, ""свежим"" ветром."
E004,S01,22,weather,,,,Кронштадта,Крюднер,Началась сильная качка.
E004,S01,23,weather,,,,Кронштадта,Крюднер,"Но эта первая буря мало подействовала на меня: не бывши никогда в море, я думал, что это так должно быть, что иначе не бывает, то есть что корабль всегда раскачивается на обе стороны, палуба вырывается из-под ног и море как будто опрокидывается на голову."
E004,S01,24,shipboard_work,,,,Кронштадта,Крюднер,"Я сидел в кают-компании, прислушиваясь в недоумении к свисту ветра между снастей и к ударам волн в бока судна."
E004,S01,25,weather,,,,Кронштадта,Крюднер,"Наверху было холодно; косой, мерзлый дождь хлестал в лицо."
E004,S01,26,meeting,,,,Кронштадта,Крюднер,"Офицеры беззаботно разговаривали между собой, как в комнате, на берегу; иные читали."
E004,S01,31,shipboard_work,,,,Кронштадта,Крюднер,"""Свистят всех наверх, когда есть авральная работа"", – сказал он второпях и исчез."
