source,target,weight
МАНИЛА — От Лю-чу до Манилы,Маниле,5
Маниле,МАНИЛА — От Лю-чу до Манилы,5
Нагасаки,Едо,4
Кронштадта,Англии,3
Англии,Кронштадта,3
Японии,Маниле,2
Едо,Нагасаки,2
Едо,Японии,2
Китае,Едо,2
Африке,Капштате,2
Кореи,Маниле,2
Маниле,Кореи,2
Лондон,Англии,2
Китае,Англии,1
Китае,Бичи,1
Японии,Лю-чу,1
Венгрии,Лондон,1
Лю-чу,Японии,1
Японии,Чуди,1
Чуди,Сан-Франциско,1
Сан-Франциско,Китае,1
Бичи,От Лю-чу до Манилы,1
Нагасаки,Японии,1
От Лю-чу до Манилы,Маниле,1
Шанхай,Венгрии,1
Сингапуре,Шанхай,1
МАНИЛА — От Лю-чу до Манилы,Китае,1
Китае,МАНИЛА — От Лю-чу до Манилы,1
Маниле,Америку,1
Америку,Маниле,1
Англии,Шанхай,1
Парголово,Нагасаки,1
Англии,Каннингама,1
Англии,России,1
Каннингама,Нагасаки,1
Едо,России,1
Янсекиян,Китае,1
России,Шанхай,1
Шанхай,Пекине,1
Пекине,Англии,1
России,Нагасаки,1
Чую,Парголово,1
Нагасаки,Кавадзи,1
Кавадзи,Едо,1
Фогу,Янсекиян,1
Шанхай,Фогу,1
Охотского,Яве,1
Яве,Чую,1
Нагасаки,Охотского,1
Кронштадта,Сандвичевых,1
Маниле,Едо,1
Янсекиян и Шанхай,Шанхай,1
Якутска,Охотского,1
Охотского,Якутска,1
Якутска,Российской Америке,1
Российской Америке,Ледовитое,1
Ледовитое,Якутска,1
Якутска,Лену,1
Лену,Якутска,1
Якутска,Каменская станция,1
Каменская станция,Поледуйская станция,1
Поледуйская станция,Иркутска,1
Иркутска,Японии,1
Японии,Охотского,1
Охотского,Дании,1
Дании,Англии,1
Англии,Петре Великом,1
Петре Великом,Шанхай,1
Шанхай,Японии,1
Японии,России,1
России,Иркутска,1
Руси,Якутска,1
Якутска,Руси,1
Ыргалахской,Якутска,1
Американской,Маила,1
Маниле,Японии,1
Маниле,Японское море и берег Кореи,1
Японское море и берег Кореи,Маниле,1
Маниле,Джукджур,1
Джукджур,Аян,1
Аян,Сахалине,1
Сахалине,Аяне,1
Аяне,Американской,1
Маила,Аяне,1
Мае,Ыргалахской,1
Аяне,Нельканской,1
Нельканской,Семи Протоков,1
Семи Протоков,Айме,1
Айме,Якутска,1
Якутска,Усть-Маи,1
Усть-Маи,Петербурге,1
Петербурге,Ичугей-Муранской,1
Ичугей-Муранской,Мае,1
Шанхай,Сингапуре,1
Едо,Шанхай,1
Шанхая,Янсекиян и Шанхай,1
Европы,Веллингтон,1
Англии,Саймонстоун,1
Саймонстоун,Африке,1
Капштате,Устере,1
Устере,Бену,1
Бену,Устере,1
Устере,Африке,1
Африке,Лесюеру,1
Лесюеру,Европы,1
Веллингтон,Капштате,1
Яве,Мекке,1
Капштате,Саймонстоун,1
Саймонстоун,Индии,1
Индии,Портсмут,1
Портсмут,Сейоло,1
Сейоло,Фальсбея,1
Фальсбея,МЫСА ДОБРОЙ НАДЕЖДЫ,1
МЫСА ДОБРОЙ НАДЕЖДЫ,Анжере,1
Анжере,МЫСА ДОБРОЙ НАДЕЖДЫ,1
Капштате,Англии,1
Капштате,Африке,1
Англии,Капштате,1
Москве,Англии,1
Японии,Кронштадта,1
Кронштадта,Портсмут,1
Портсмут,Кронштадта,1
Кронштадта,Лондон,1
Англии,Мадере,1
Мадере,Англии,1
Англии,Финском,1
Финском,Гренаду,1
Гренаду,Европы,1
Европы,Англии,1
Англии,Франции,1
Франции,России,1
России,Реперовы,1
Реперовы,Африке,1
Африке,Мадере,1
Мадере,Порто-Прайя,1
Порто-Прайя,Москве,1
МЫСА ДОБРОЙ НАДЕЖДЫ,Яве,1
Мекке,Китае,1
Гонконге,Шанхая,1
Едо,Англии,1
Японии,Китае,1
Едо,Льоду,1
Льоду,Кичибе,1
Кичибе,Едо,1
Едо,Фаддеева,1
Фаддеева,Едо,1
Едо,Петербурге,1
Петербурге,Едо,1
Англии,Нагасаки,1
Китае,Сингапуре,1
Едо,Сатурна,1
Сатурна,Едо,1
Едо,Паппенбергом,1
Паппенбергом,Паппенберга,1
Паппенберга,Батавию,1
Батавию,Едо,1
Сандвичевых,Японии,1
Шанхай,Гонконге,1
Излера,Японии,1
Едо,Излера,1
Едо,Китае,1
Камчатки,Едо,1
Сингапуре,Елагинском,1
Елагинском,Европы,1
Европы,Петербурге,1
Петербурге,Китае,1
Китае,Индийском,1
Индийском,Сингапуре,1
Сингапуре,России,1
России,Англии,1
Англии,ГОН-КОНГ,1
ГОН-КОНГ,ОСТРОВА БОНИН-СИМА,1
ОСТРОВА БОНИН-СИМА,Гонконге,1
Гонконге,ОСТРОВА БОНИН-СИМА,1
ОСТРОВА БОНИН-СИМА,Сан-Франциско,1
Сан-Франциско,ОСТРОВА БОНИН-СИМА,1
ОСТРОВА БОНИН-СИМА,Едо,1
Японии,Нагасаки,1
Едо,Камчатки,1
Иркутска,Лондон,1
