section_start,roman,title,volume,section_end,section_id,outline_text,body_start,route_from,route_to
4,I,ОТ КРОНШТАДТА ДО МЫСА ЛИЗАРДА,1,242,S01,"Сборы, прощание и отъезд в Кронштадт. – Фрегат ""Паллада"". – Море и моряки. – Кают-компания. – Финский залив. – Свежий ветер. – Морская болезнь. – Готланд. – Холера на фрегате. – Падение человека в море. – Зунд. – Каттегат и Скагеррак. – Немецкое море. – Доггерская банка и Галлоперский маяк. – Покинутое судно. – Рыбаки. – Британский канал и Спитгедский рейд. – Лондон. – Похороны Веллингтона. – Заметки об англичанах и англичанках. – Возвращение в Портсмут. – Житье на ""Кемпердоуне"". – Прогулка по Портсмуту, Саутси, Портси и Госпорту. – Ожидание попутного ветра на Спитгедском рейде. – Вечер накануне Рождества. – Силуэт англичанина и русского. – Отплытие.",15,КРОНШТАДТА,МЫСА ЛИЗАРДА
243,II,АТЛАНТИЧЕСКИЙ ОКЕАН И ОСТРОВ МАДЕРА,1,383,S02,,244,,
384,III,ПЛАВАНИЕ В АТЛАНТИЧЕСКИХ ТРОПИКАХ,1,489,S03,Норд-остовый пассат. – Острова Зеленого Мыса. – С.-Яго и Порто-Прайя. – Северный тропик. – Тропическая зима. – Штилевая полоса. – Экватор. – Южный тропик и зюйд-остовый пассат. – Летучие рыбы и акулы. – Опять штили. – Масленица. -Образ жизни на фрегате. – Купанье. – Море и небо.,395,,
