section_id,section_title,episode_title,date_raw,year,month,text,n_words,episode_id,persons,places,n_persons,n_places,primary_place,prep_text,topic_id,topic_weight
S01,ОТ КРОНШТАДТА ДО МЫСА ЛИЗАРДА,,,,,"Меня удивляет, как могли вы не получить моего первого письма из Англии, от 2/14 ноября 1852 года, и второго из Гонконга, именно из мест, где об участи письма заботятся, как о судьбе новорожденного младенца. В Англии и ее колониях письмо есть заветный предмет, который проходит чрез тысячи рук, по железным и другим дорогам, по океанам, из полушария в полушарие, и находит неминуемо того, к кому послано, если только он жив, и так же неминуемо возвращается, откуда послано, если он умер или сам воротился туда же. Не затерялись ли письма на материке, в датских или прусских владениях? Но теперь поздно производить следствие о таких пустяках: лучше вновь написать, если только это нужно…
Вы спрашиваете подробностей моего знакомства с морем, с моряками, с берегами Дании и Швеции, с Англией? Вам хочется знать, как я вдруг из своей покойной комнаты, которую оставлял только в случае крайней надобности и всегда с сожалением, перешел на зыбкое лоно морей, как, избалованнейший из всех вас городскою жизнию, обычною суетой дня и мирным спокойствием ночи, я вдруг, в один день, в один час, должен был ниспровергнуть этот порядок и ринуться в беспорядок жизни моряка? Бывало, не заснешь, если в комнату ворвется большая муха и с буйным жужжаньем носится, толкаясь в потолок и в окна, или заскребет мышонок в углу; бежишь от окна, если от него дует, бранишь дорогу, когда в ней есть ухабы, откажешься ехать на вечер в конец города под предлогом ""далеко ехать"", боишься пропустить урочный час лечь спать; жалуешься, если от супа пахнет дымом, или жаркое перегорело, или вода не блестит, как хрусталь… И вдруг – на море! ""Да как вы там будете ходить – качает?"" – спрашивали люди, которые находят, что если заказать карету не у такого-то каретника, так уж в ней качает. ""Как ляжете спать, что будете есть? Как уживетесь с новыми людьми?"" – сыпались вопросы, и на меня смотрели с болезненным любопытством, как на жертву, обреченную пытке.
Из этого видно, что у всех, кто не бывал на море, были еще в памяти старые романы Купера или рассказы Мариета о море и моряках, о капитанах, которые чуть не сажали на цепь пассажиров, могли жечь и вешать подчиненных, о кораблекрушениях, землетрясениях. ""Там вас капитан на самый верх посадит, – говорили мне друзья и знакомые (отчасти и вы, помните?), – есть не велит давать, на пустой берег высадит"". – ""За что?"" – спрашивал я. ""Чуть не так сядете, не так пойдете, закурите сигару, где не велено"". – ""Я всё буду делать, как делают там"", – кротко отвечал я. ""Вот вы привыкли по ночам сидеть, а там, как солнце село, так затушат все огни, – говорили другие, – а шум, стукотня какая, запах, крик!"" – ""Сопьетесь вы там с кругу! – пугали некоторые, – пресная вода там в редкость, всё больше ром пьют"". – ""Ковшами, я сам видел, я был на корабле"", – прибавил кто-то. Одна старушка всё грустно качала головой, глядя на меня, и упрашивала ехать ""лучше сухим путем кругом света"". Еще барыня, умная, милая, заплакала, когда я приехал с ней прощаться. Я изумился: я видался с нею всего раза три в год и мог бы не видаться три года, ровно столько, сколько нужно для кругосветного плавания, она бы не заметила. ""О чем вы плачете?"" – спросил я. ""Мне жаль вас"", – сказала она, отирая слезы. ""Жаль потому, что лишний человек все-таки развлечение?"" – заметил я. ""А вы много сделали для моего развлечения?"" – сказала она. Я стал в тупик: о чем же она плачет? ""Мне просто жаль, что вы едете бог знает куда"". Меня зло взяло. Вот как смотрят у нас на завидную участь путешественника! ""Я понял бы ваши слезы, если б это были слезы зависти, – сказал я, – если б вам было жаль, что на мою, а не на вашу долю выпадает быть там, где из нас почти никто не бывает, видеть чудеса, о которых здесь и мечтать трудно, что мне открывается вся великая книга, из которой едва кое-кому удается прочесть первую страницу…"" Я говорил ей хорошим слогом. ""Полноте, – сказала она печально, – я знаю всё; но какою ценою достанется вам читать эту книгу? Подумайте, что ожидает вас, чего вы натерпитесь, сколько шансов не воротиться!.. Мне жаль вас, вашей участи, оттого я и плачу. Впрочем, вы не верите слезам, – прибавила она, – но я плачу не для вас: мне просто плачется"".
Мысль ехать, как хмель, туманила голову, и я беспечно и шутливо отвечал на все предсказания и предостережения, пока еще событие было далеко. Я всё мечтал – и давно мечтал – об этом вояже, может быть с той минуты, когда учитель сказал мне, что если ехать от какой-нибудь точки безостановочно, то воротишься к ней с другой стороны: мне захотелось поехать с правого берега Волги, на котором я родился, и воротиться с левого; хотелось самому туда, где учитель указывает пальцем быть экватору, полюсам, тропикам. Но когда потом от карты и от учительской указки я перешел к подвигам и приключениям Куков, Ванкуверов, я опечалился: что перед их подвигами Гомеровы герои, Аяксы, Ахиллесы и сам Геркулес? Дети!
Робкий ум мальчика, родившегося среди материка и не видавшего никогда моря, цепенел перед ужасами и бедами, которыми наполнен путь пловцов. Но с летами ужасы изглаживались из памяти, и в воображении жили, и пережили молодость, только картины тропических лесов, синего моря, золотого, радужного неба.
""Нет, не в Париж хочу, – помните, твердил я вам, – не в Лондон, даже не в Италию, как звучн вы о ней ни пели, поэт 1}, – хочу в Бразилию, в Индию, хочу туда, где солнце из камня вызывает жизнь и тут же рядом превращает в камень всё, чего коснется своим огнем; где человек, как праотец наш, рвет несеяный плод, где рыщет лев, пресмыкается змей, где царствует вечное лето, – туда, в светлые чертоги Божьего мира, где природа, как баядерка, дышит сладострастием, где душно, страшно и обаятельно жить, где обессиленная фантазия немеет перед готовым созданием, где глаза не устанут смотреть, а сердце биться"".",934,E001,[],"['Англии', 'Бразилии', 'Гонконге', 'Индии', 'Италию', 'Кронштадта', 'Лондон', 'Париж']",0,8,Кронштадта,удивля могл получ перв письм англ ноябр год втор гонконг имен участ письм забот судьб новорожден младенц англ колон письм заветн предмет проход чрез тысяч рук железн друг дорог океан полушар полушар наход неминуем ком посла жив неминуем возвраща откуд посла умер ворот туд затеря письм материк датск прусск владен поздн производ следств пустяк внов написа нужн спрашива подробн знакомств мор моряк берег дан швец англ хочет знат покойн комнат оставля случа крайн надобн сожален перешел зыбк лон мор избалован городск жизн обычн сует дня мирн спокойств ноч ден час долж ниспровергнут порядок ринут беспорядок жизн моряк быва заснеш комнат ворвет больш мух буйн жужжан нос толк потолок окн заскребет мышонок угл беж окн дует бран дорог ухаб откажеш еха вечер конец город предлог далек еха бо пропуст урочн час леч спат жалуеш суп пахнет дым жарк перегорел вод блест хрустал мор ход кача спрашива люд наход заказа карет такого-т каретник кача ляжет спат уживет нов людьм сыпа вопрос смотрел болезнен любопытств жертв обречен пытк видн быва мор памят стар рома купер рассказ мариет мор моряк капитан сажа цеп пассажир могл жеч веша подчинен кораблекрушен землетрясен капита верх посад друз знаком отчаст помн вел дава пуст берег высад спрашива сядет пойдет закур сигар вел буд кротк отвеча привыкл ноч сидет солнц сел затушат огн друг шум стукотн зап крик сопьет круг пуга некотор пресн вод редкост ром пьют ковш корабл прибав кто-т одн старушк грустн кача голов гляд упрашива еха сух пут круг свет барын умн мил заплака приеха проща изум вида год вида год ровн стольк скольк нужн кругосветн плаван замет плачет спрос жал отир слез жал лишн все-так развлечен замет сдела развлечен тупик плачет прост жал едет бог знает зло взял смотр завидн участ путешественник поня ваш слез слез завист жал ваш дол выпада никт быва видет чудес мечта трудн открыва вся велик книг едв кое-к уда прочест перв страниц хорош слог полнот печальн зна цен достанет чита книг подума ожида натерп скольк шанс ворот жал ваш участ отт плач впроч вер слез прибав плач прост плачет мысл еха хмел туман голов беспечн шутлив отвеча предсказан предостережен пок событ далек мечта давн мечта вояж учител еха какой-нибуд точк безостановочн ворот сторон захотел поеха прав берег волг род ворот лев хотел туд учител указыва пальц экватор полюс тропик карт учительск указк перешел подвиг приключен кук ванкувер опечал подвиг гомеров геро аякс ахиллес геркулес дет робк мальчик род сред материк вида мор цепенел ужас бед наполн пут пловц лет ужас изглажива памят воображен жил переж молод картин тропическ лес син мор золот радужн неб париж хоч помн тверд лондон итал звучн пел поэт хоч бразил инд хоч туд солнц камн вызыва жизн ряд превраща камен коснет огн праотец рвет несеян плод рыщет лев пресмыка зме царств вечн лет туд светл чертог бож мир природ баядерк дыш сладостраст душн страшн обаятельн жит обессилен фантаз немеет готов создан глаз устанут смотрет сердц бит,0,0.3185208294711167
S01,ОТ КРОНШТАДТА ДО МЫСА ЛИЗАРДА,,,,,"Всё было загадочно и фантастически прекрасно в волшебной дали: счастливцы ходили и возвращались с заманчивою, но глухою повестью о чудесах, с детским толкованием тайн мира. Но вот явился человек, мудрец и поэт, и озарил таинственные углы. Он пошел туда с компасом, заступом, циркулем и кистью, с сердцем, полным веры к Творцу и любви к Его мирозданию. Он внес жизнь, разум и опыт в каменные пустыни, в глушь лесов и силою светлого разумения указал путь тысячам за собою. ""Космос!"" Еще мучительнее прежнего хотелось взглянуть живыми глазами на живой космос.
""Подал бы я, – думалось мне, – доверчиво мудрецу руку, как дитя взрослому, стал бы внимательно слушать, и, если понял бы настолько, насколько ребенок понимает толкования дядьки, я был бы богат и этим скудным разумением"". Но и эта мечта улеглась в воображении вслед за многим другим. Дни мелькали, жизнь грозила пустотой, сумерками, вечными буднями: дни, хотя порознь разнообразные, сливались в одну утомительно-однообразную массу годов.
Зевота за делом, за книгой, зевота в спектакле, и та же зевота в шумном собрании и в приятельской беседе!
И вдруг неожиданно суждено было воскресить мечты, расшевелить воспоминания, вспомнить давно забытых мною кругосветных героев. Вдруг и я вслед за ними иду вокруг света! Я радостно содрогнулся при мысли: я буду в Китае, в Индии, переплыву океаны, ступлю ногою на те острова, где гуляет в первобытной простоте дикарь, посмотрю на эти чудеса – и жизнь моя не будет праздным отражением мелких, надоевших явлений. Я обновился; все мечты и надежды юности, сама юность воротилась ко мне. Скорей, скорей в путь!
Странное, однако, чувство одолело меня, когда решено было, что я еду: тогда только сознание о громадности предприятия заговорило полно и отчетливо. Радужные мечты побледнели надолго; подвиг подавлял воображение, силы ослабевали, нервы падали по мере того, как наступал час отъезда. Я начал завидовать участи остающихся, радовался, когда являлось препятствие, и сам раздувал затруднения, искал предлогов остаться. Но судьба, по большей части мешающая нашим намерениям, тут как будто задала себе задачу помогать.
И люди тоже, даже незнакомые, в другое время недоступные, хуже судьбы, как будто сговорились уладить дело. Я был жертвой внутренней борьбы, волнений, почти изнемогал. ""Куда это? Что я затеял?"" И на лицах других мне страшно было читать эти вопросы. Участие пугало меня. Я с тоской смотрел, как пустела моя квартира, как из нее понесли мебель, письменный стол, покойное кресло, диван. Покинуть всё это, променять на что?
Жизнь моя как-то раздвоилась, или как будто мне дали вдруг две жизни, отвели квартиру в двух мирах. В одном я – скромный чиновник, в форменном фраке, робеющий перед начальническим взглядом, боящийся простуды, заключенный в четырех стенах с несколькими десятками похожих друг на друга лиц, вицмундиров. В другом я – новый аргонавт, в соломенной шляпе, в белой льняной куртке, может быть с табачной жвачкой во рту, стремящийся по безднам за золотым руном в недоступную Колхиду, меняющий ежемесячно климаты, небеса, моря, государства. Там я редактор докладов, отношений и предписаний; здесь – певец, хотя ex officio, похода. Как пережить эту другую жизнь, сделаться гражданином другого мира? Как заменить робость чиновника и апатию русского литератора энергиею мореходца, изнеженность горожанина – загрубелостью матроса? Мне не дано ни других костей, ни новых нерв. А тут вдруг от прогулок в Петергоф и Парголово шагнуть к экватору, оттуда к пределам Южного полюса, от Южного к Северному, переплыть четыре океана, окружить пять материков и мечтать воротиться… Действительность, как туча, приближалась всё грозней и грозней; душу посещал и мелочной страх, когда я углублялся в подробный анализ предстоящего вояжа. Морская болезнь, перемены климата, тропический зной, злокачественные лихорадки, звери, дикари, бури – всё приходило на ум, особенно бури. Хотя я и беспечно отвечал на все, частию трогательные, частию смешные, предостережения друзей, но страх нередко и днем и ночью рисовал мне призраки бед. То представлялась скала, у подножия которой лежит наше разбитое судно, и утопающие напрасно хватаются усталыми руками за гладкие камни; то снилось, что я на пустом острове, выброшенный с обломком корабля, умираю с голода…
Я просыпался с трепетом, с каплями пота на лбу. Ведь корабль, как он ни прочен, как ни приспособлен к морю, что он такое? – щепка, корзинка, эпиграмма на человеческую силу. Я боялся, выдержит ли непривычный организм массу суровых обстоятельств, этот крутой поворот от мирной жизни к постоянному бою с новыми и резкими явлениями бродячего быта? Да, наконец, хватит ли души вместить вдруг, неожиданно развивающуюся картину мира? Ведь это дерзость почти титаническая! Где взять силы, чтоб воспринять массу великих впечатлений? И когда ворвутся в душу эти великолепные гости, не смутится ли сам хозяин среди своего пира?
Я справлялся, как мог, с сомнениями: одни удалось победить, другие оставались нерешенными до тех пор, пока дойдет до них очередь, и я мало-помалу ободрился. Я вспомнил, что путь этот уже не Магелланов путь, что с загадками и страхами справились люди. Не величавый образ Колумба и Васко де Гама гадательно смотрит с палубы вдаль, в неизвестное будущее: английский лоцман, в синей куртке, в кожаных панталонах, с красным лицом, да русский штурман, с знаком отличия беспорочной службы, указывают пальцем путь кораблю и безошибочно назначают день и час его прибытия. Между моряками, зевая апатически, лениво смотрит ""в безбрежную даль"" океана литератор, помышляя о том, хороши ли гостиницы в Бразилии, есть ли прачки на Сандвичевых островах, на чем ездят в Австралии? ""Гостиницы отличные, – отвечают ему, – на Сандвичевых островах найдете всё: немецкую колонию, французские отели, английский портер – все, кроме – диких"". В Австралии есть кареты и коляски; китайцы начали носить ирландское полотно; в Ост-Индии говорят всё по-английски; американские дикари из леса порываются в Париж и в Лондон, просятся в университет; в Африке черные начинают стыдиться своего цвета лица и понемногу привыкают носить белые перчатки.",903,E002,[],"['Австралии', 'Африке', 'Бразилии', 'Его', 'Индии', 'Китае', 'Кронштадта', 'Лондон', 'Ост-Индии', 'Париж', 'Петергоф', 'Сандвичевых', 'Северному', 'Творцу', 'Южного']",0,15,Сандвичевых,загадочн фантастическ прекрасн волшебн дал счастливц ход возвраща заманчив глух повест чудес детск толкован тайн мир яв мудрец поэт озар таинствен угл пошел туд компас заступ циркул кист сердц полн вер творц любв мироздан внес жизн разум оп камен пустын глуш лес сил светл разумен указа пут тысяч соб космос мучительн прежн хотел взглянут жив глаз жив космос пода дума доверчив мудрец рук дит взросл внимательн слуша поня настольк наскольк ребенок понима толкован дядьк богат скудн разумен мечт улегл воображен вслед мног друг дни мелька жизн гроз пустот сумерк вечн будн дни хот порозн разнообразн слива одн утомительно-однообразн масс год зевот дел книг зевот спектакл зевот шумн собран приятельск бесед неожида сужд воскрес мечт расшевел воспоминан вспомн давн забыт мно кругосветн геро вслед ид вокруг свет радостн содрогнул мысл буд кита инд переплыв океа ступл ног остров гуля первобытн простот дикар посмотр чудес жизн праздн отражен мелк надоевш явлен обнов мечт надежд юност юност ворот скор скор пут стран однак чувств одолел реш ед сознан громадн предприят заговор полн отчетлив радужн мечт побледнел надолг подвиг подавля воображен сил ослабева нерв пада мер наступа час отъезд нача завидова участ оста радова явля препятств раздува затруднен иска предлог оста судьб больш част меша намерен зада задач помога люд незнаком друг врем недоступн хуж судьб сговор улад дел жертв внутрен борьб волнен изнемога затея лиц друг страшн чита вопрос участ пуга тоск смотрел пустел квартир понесл мебел письмен стол покойн кресл дива покинут променя жизн как-т раздво дал две жизн отвел квартир двух мир одн скромн чиновник формен фрак робеющ начальническ взгляд боя простуд заключен четырех стен десятк похож друг друг лиц вицмундир друг нов аргонавт соломен шляп бел льнян куртк табачн жвачк рту стремя бездн золот рун недоступн колхид ежемесячн климат небес мор государств редактор доклад отношен предписан певец хот officio поход переж друг жизн сдела гражданин друг мир замен робост чиновник апат русск литератор энерг мореходц изнежен горожанин загрубел матрос дан друг кост нов нерв прогулок петергоф парголов шагнут экватор оттуд предел южн полюс южн северн перепл четыр океа окруж пят материк мечта ворот действительн туч приближа грозн грозн душ посеща мелочн страх углубля подробн анализ предстоя вояж морск болезн перем климат тропическ зно злокачествен лихорадк звер дикар бур приход особен бур хот беспечн отвеча част трогательн част смешн предостережен друз страх нередк днем ноч рисова призрак бед представля скал поднож леж разбит судн утопа напрасн хвата устал рук гладк камн снил пуст остров выброшен обломк корабл умира голод просыпа трепет капл пот лбу корабл проч приспособл мор щепк корзинк эпиграмм человеческ сил боя выдерж непривычн организм масс суров обстоятельств крут поворот мирн жизн постоя бо нов резк явлен бродяч быт наконец хват душ вмест неожида развива картин мир дерзост титаническ взят сил восприня масс велик впечатлен ворвут душ великолепн гост смут хозяин сред пир справля сомнен одн уда побед друг остава нерешен тех пор пок дойдет очеред мало-помал ободр вспомн пут магеллан пут загадк страх справ люд величав образ колумб васк гам гадательн смотр палуб вдал неизвестн будущ английск лоцма син куртк кожан панталон красн лиц русск штурма знак отлич беспорочн служб указыва пальц пут корабл безошибочн назнача ден час прибыт моряк зев апатическ ленив смотр безбрежн дал океа литератор помышл хорош гостиниц бразил прачк сандвичев остров езд австрал гостиниц отличн отвеча сандвичев остров найдет немецк колон французск отел английск портер кром дик австрал карет коляск китайц нача нос ирландск полотн ост-инд по-английск американск дикар лес порыва париж лондон прос университет африк черн начина стыд цвет лиц понемног привыка нос бел перчатк,1,0.3786111027056171
S01,ОТ КРОНШТАДТА ДО МЫСА ЛИЗАРДА,,,,,"Лишь с большим трудом и издержками можно попасть в кольца удава или в когти тигра и льва. Китай долго крепился, но и этот сундук с старою рухлядью вскрылся – крышка слетела с петель, подорванная порохом. Европеец роется в ветоши, достает, что придется ему впору, обновляет, хозяйничает… Пройдет еще немного времени, и не станет ни одного чуда, ни одной тайны, ни одной опасности, никакого неудобства. И теперь воды морской нет, ее делают пресною, за пять тысяч верст от берега является блюдо свежей зелени и дичи; под экватором можно поесть русской капусты и щей. Части света быстро сближаются между собою: из Европы в Америку – рукой подать; поговаривают, что будут ездить туда в сорок восемь часов, – пуф, шутка конечно, но современный пуф, намекающий на будущие гигантские успехи мореплавания.
Скорей же, скорей в путь! Поэзия дальних странствий исчезает не по дням, а по часам. Мы, может быть, последние путешественники, в смысле аргонавтов: на нас еще, по возвращении, взглянут с участием и завистью.
Казалось, все страхи, как мечты, улеглись: вперед манил простор и ряд неиспытанных наслаждений. Грудь дышала свободно, навстречу веяло уже югом, манили голубые небеса и воды. Но вдруг за этою перспективой возникало опять грозное привидение и росло по мере того, как я вдавался в путь. Это привидение была мысль: какая обязанность лежит на грамотном путешественнике перед соотечественниками, перед обществом, которое следит за плавателями?
Экспедиция в Японию – не иголка: ее не спрячешь, не потеряешь. Трудно теперь съездить и в Италию, без ведома публики, тому, кто раз брался за перо. А тут предстоит объехать весь мир и рассказать об этом так, чтоб слушали рассказ без скуки, без нетерпения. Но как и что рассказывать и описывать? Это одно и то же, что спросить, с какою физиономией явиться в общество?
Нет науки о путешествиях: авторитеты, начиная от Аристотеля до Ломоносова включительно, молчат; путешествия не попали под ферулу риторики, и писатель свободен пробираться в недра гор, или опускаться в глубину океанов, с ученою пытливостью, или, пожалуй, на крыльях вдохновения скользить по ним быстро и ловить мимоходом на бумагу их образы; описывать страны и народы исторически, статистически или только посмотреть, каковы трактиры, – словом, никому не отведено столько простора и никому от этого так не тесно писать, как путешественнику. Говорить ли о теории ветров, о направлении и курсах корабля, о широтах и долготах или докладывать, что такая-то страна была когда-то под водою, а вот это дно было наруже; этот остров произошел от огня, а тот от сырости; начало этой страны относится к такому времени, народ произошел оттуда, и при этом старательно выписать из ученых авторитетов, откуда, что и как? Но вы спрашиваете чего-нибудь позанимательнее. Всё, что я говорю, очень важно; путешественнику стыдно заниматься будничным делом: он должен посвящать себя преимущественно тому, чего уж нет давно, или тому, что, может быть, было, а может быть, и нет.
""Отошлите это в ученое общество, в академию, – говорите вы, – а беседуя с людьми всякого образования, пишите иначе. Давайте нам чудес, поэзии, огня, жизни и красок!"" Чудес, поэзии! Я сказал, что их нет, этих чудес: путешествия утратили чудесный характер. Я не сражался со львами и тиграми, не пробовал человеческого мяса. Всё подходит под какой-то прозаический уровень.
Колонисты не мучат невольников, покупщики и продавцы негров называются уже не купцами, а разбойниками; в пустынях учреждаются станции, отели; через бездонные пропасти вешают мосты. Я с комфортом и безопасно проехал сквозь ряд португальцев и англичан – на Мадере и островах Зеленого Мыса; голландцев, негров, готтентотов и опять англичан – на мысе Доброй Надежды; малайцев, индусов и… англичан – в Малайском архипелаге и Китае, наконец, сквозь японцев и американцев – в Японии. Что за чудо увидеть теперь пальму и банан не на картине, а в натуре, на их родной почве, есть прямо с дерева гуавы, мангу и ананасы, не из теплиц, тощие и сухие, а сочные, с римский огурец величиною? Что удивительного теряться в кокосовых неизмеримых лесах, путаться ногами в ползучих лианах, между высоких, как башни, деревьев, встречаться с этими цветными странными нашими братьями? А море? И оно обыкновенно во всех своих видах, бурное или неподвижное, и небо тоже, полуденное, вечернее, ночное, с разбросанными, как песок, звездами. Всё так обыкновенно, всё это так должно быть. Напротив, я уехал от чудес: в тропиках их нет. Там всё одинаково, всё просто. Два времени года, и то это так говорится, а в самом деле ни одного: зимой жарко, а летом знойно; а у вас там, на ""дальнем севере"", четыре сезона, и то это положено по календарю, а в самом-то деле их семь или восемь. Сверх положенных, там в апреле является нежданное лето, морит духотой, а в июне непрошеная зима порошит иногда снегом, потом вдруг наступит зной, какому позавидуют тропики, и всё цветет и благоухает тогда на пять минут под этими страшными лучами. Раза три в год Финский залив и покрывающее его серое небо нарядятся в голубой цвет и млеют, любуясь друг другом, и северный человек, едучи из Петербурга в Петергоф, не насмотрится на редкое ""чудо"", ликует в непривычном зное, и всё заликует: дерево, цветок и животное. В тропиках, напротив, страна вечного зефира, вечного зноя, покоя и синевы небес и моря.
Всё однообразно!
И поэзия изменила свою священную красоту. Ваши музы, любезные поэты 2}, законные дочери парнасских камен, не подали бы вам услужливой лиры, не указали бы на тот поэтический образ, который кидается в глаза новейшему путешественнику. И какой это образ! Не блистающий красотою, не с атрибутами силы, не с искрой демонского огня в глазах, не с мечом, не в короне, а просто в черном фраке, в круглой шляпе, в белом жилете, с зонтиком в руках.",896,E003,[],"['Америку', 'Аристотеля', 'Европы', 'Италию', 'Кронштадта', 'Ломоносова', 'Мадере', 'Малайском', 'Петербурге', 'Петергоф', 'Японии']",0,11,Японии,лиш больш труд издержк попаст кольц удав когт тигр льва кита долг креп сундук стар рухляд вскрыл крышк слетел петел подорва порох европеец роет ветош доста придет впор обновля хозяйнича пройдет немн времен станет одн чуд одн тайн одн опасн никак неудобств вод морск пресн пят тысяч верст берег явля блюд свеж зелен дич экватор поест русск капуст ще част свет быстр сближа соб европ америк рук пода поговарива будут езд туд сорок восем час пуф шутк современ пуф намека будущ гигантск успех мореплаван скор скор пут поэз дальн странств исчеза дням час последн путешественник смысл аргонавт возвращен взглянут участ завист каза страх мечт улегл вперед ман простор ряд неиспыта наслажден груд дыша свободн навстреч вея юг ман голуб небес вод перспектив возника грозн привиден росл мер вдава пут привиден мысл обязан леж грамотн путешественник соотечественник обществ след плавател экспедиц япон иголк спрячеш потеря трудн съезд итал ведом публик брал пер предсто объеха мир рассказа слуша рассказ скук нетерпен рассказыва описыва одн спрос физионом яв обществ наук путешеств авторитет начин аристотел ломоносов включительн молчат путешеств попа ферул риторик писател свобод пробира недр гор опуска глубин океан учен пытлив пожал крыл вдохновен скольз быстр лов мимоход бумаг образ описыва стран народ историческ статистическ посмотрет каков трактир слов ник отвед стольк простор ник тесн писа путешественник теор ветр направлен курс корабл широт долгот докладыва такая-т стран когда-т вод дно наруж остр произошел огн сырост нача стран относ времен народ произошел оттуд старательн выписа учен авторитет откуд спрашива чего-нибуд позанимательн важн путешественник стыдн занима будничн дел долж посвяща преимуществен давн отошл учен обществ академ беседу людьм всяк образован пиш инач дава чудес поэз огн жизн красок чудес поэз чудес путешеств утрат чудесн характер сража львам тигр пробова человеческ мяс подход какой-т прозаическ уровен колонист мучат невольник покупщик продавц негр называ купц разбойник пустын учрежда станц отел бездон пропаст веша мост комфорт безопасн проеха сквоз ряд португальц англича мадер остров зелен мыс голландц негр готтентот англича мыс добр надежд малайц индус англича малайск архипелаг кита наконец сквоз японц американц япон чуд увидет пальм бана картин натур родн почв прям дерев гуав манг ананас теплиц тощ сух сочн римск огурец величин удивительн теря кокосов неизмерим лес пута ног ползуч лиан высок башн дерев встреча цветн стран брат мор обыкновен вид бурн неподвижн неб полуден вечерн ночн разброса песок звезд обыкновен должн напрот уеха чудес тропик одинаков прост времен год дел одн зим жарк лет знойн дальн север четыр сезон полож календар самом-т дел сем восем сверх положен апрел явля нежда лет мор духот июн непрошен зим порош снег наступ зно позавид тропик цветет благоуха пят страшн луч год финск зал покрыва сер неб наряд голуб цвет млеют любу друг друг северн едуч петербург петергоф насмотр редк чуд лик непривычн зно залик дерев цветок животн тропик напрот стран вечн зефир вечн зно поко синев небес мор однообразн поэз измен священ красот ваш муз любезн поэт закон дочер парнасск кам пода услужлив лир указа поэтическ образ кида глаз нов путешественник образ блиста красот атрибут сил искр демонск огн глаз меч корон прост черн фрак кругл шляп бел жилет зонтик рук,1,0.6262250496118629
